[I 210513 14:01:26 main:117] Model name: dimenet
[I 210513 14:01:26 main:118] Model params: {'emb_size': 128, 'num_blocks': 6, 'num_bilinear': 8, 'num_spherical': 7, 'num_radial': 6, 'envelope_exponent': 5, 'cutoff': 4.0, 'num_before_skip': 1, 'num_after_skip': 2, 'num_dense_output': 3, 'targets': ['Energy']}
[I 210513 14:01:26 main:119] Train params: {'num_train': 1673, 'num_valid': 418, 'data_seed': 42, 'lr': 0.001, 'weight_decay': 0.0001, 'ema_decay': 0, 'batch_size': 10, 'epochs': 300, 'early_stopping': 20, 'num_workers': 12, 'gpu': 0, 'interval': 10, 'step_size': 30, 'gamma': 0.3}
[I 210513 14:01:26 main:127] Loading Data Set
[I 210513 14:01:32 main:139] Size of Training Set: 1673
[I 210513 14:01:32 main:140] Size of Validation Set: 418
[I 210513 14:01:32 main:141] Size of Test Set: 519
[I 210513 14:01:32 main:167] Loading Model
[I 210513 14:02:27 main:221] EMA Init
[I 210513 14:02:27 main:228] Training
[I 210513 16:09:34 main:248] Epoch 127 | Train Loss 0.0455
[I 210513 16:10:30 main:248] Epoch 128 | Train Loss 0.0455
[I 210513 16:11:28 main:248] Epoch 129 | Train Loss 0.0454
[I 210513 16:12:33 main:236] Epoch 130 | Train Loss 0.0452 | Val MAE 0.0646
[I 210513 16:13:30 main:248] Epoch 131 | Train Loss 0.0452
[I 210513 16:14:28 main:248] Epoch 132 | Train Loss 0.0458
[I 210513 16:15:26 main:248] Epoch 133 | Train Loss 0.0458
[I 210513 16:16:21 main:248] Epoch 134 | Train Loss 0.0454
[I 210513 16:17:19 main:248] Epoch 135 | Train Loss 0.0454
[I 210513 16:18:16 main:248] Epoch 136 | Train Loss 0.0451
[I 210513 16:19:13 main:248] Epoch 137 | Train Loss 0.0453
[I 210513 16:20:10 main:248] Epoch 138 | Train Loss 0.0459
[I 210513 16:21:05 main:248] Epoch 139 | Train Loss 0.0455
[I 210513 16:22:09 main:236] Epoch 140 | Train Loss 0.0449 | Val MAE 0.0639
[I 210513 16:23:03 main:248] Epoch 141 | Train Loss 0.0453
[I 210513 16:23:57 main:248] Epoch 142 | Train Loss 0.0450
[I 210513 16:24:51 main:248] Epoch 143 | Train Loss 0.0450
[I 210513 16:25:45 main:248] Epoch 144 | Train Loss 0.0446
[I 210513 16:26:41 main:248] Epoch 145 | Train Loss 0.0449
[I 210513 16:27:36 main:248] Epoch 146 | Train Loss 0.0454
[I 210513 16:28:30 main:248] Epoch 147 | Train Loss 0.0452
[I 210513 16:29:22 main:248] Epoch 148 | Train Loss 0.0458
[I 210513 16:30:16 main:248] Epoch 149 | Train Loss 0.0453
[I 210513 16:31:19 main:236] Epoch 150 | Train Loss 0.0442 | Val MAE 0.0640
[I 210513 16:32:11 main:248] Epoch 151 | Train Loss 0.0441
[I 210513 16:33:05 main:248] Epoch 152 | Train Loss 0.0441
[I 210513 16:33:59 main:248] Epoch 153 | Train Loss 0.0440
[I 210513 16:34:53 main:248] Epoch 154 | Train Loss 0.0440
